group,component,stage_idx,experiment,base_model,epochs_cfg,epochs_achieved,epochs_used,cum_start,cum_end,output_dir
en,checkability,1,checkability_multi_v1,xlm-roberta-base,5.0,4.672897196261682,4.672897196261682,0.0,4.672897196261682,checkpoints/checkability/multi/checkability_multi_v1
en,context,1,context_en_v1,microsoft/deberta-v3-base,4.0,4.0,4.0,0.0,4.0,checkpoints/context/en/context_en_v1
en,relevance,0,external_existing,,0.0,0.0,0.0,0.0,0.0,
en,stance,1,stance_en_deberta_v1_mnli,microsoft/deberta-v3-base,1.0,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,checkpoints/stance/en/stance_en_deberta_v1_mnli
en,stance,2,stance_en_deberta_v1_fever,,3.0,0.63,0.63,0.5333333333333333,1.1633333333333333,checkpoints/stance/en/stance_en_deberta_v1_fever
en,stance,3,stance_en_deberta_v1_vitaminc,,2.0,1.93,1.93,1.1633333333333333,3.0933333333333333,checkpoints/stance/en/stance_en_deberta_v1_vitaminc
multi,checkability,1,checkability_multi_v1,xlm-roberta-base,5.0,4.672897196261682,4.672897196261682,0.0,4.672897196261682,checkpoints/checkability/multi/checkability_multi_v1
multi,context,1,context_indic_mt_v1,google/muril-base-cased,5.0,4.8,4.8,0.0,4.8,checkpoints/context/indic/context_indic_mt_v1
multi,relevance,1,relevance_multi_v1,xlm-roberta-base,3.0,0.914662032379036,0.914662032379036,0.0,0.914662032379036,checkpoints/relevance/multi/relevance_multi_v1
multi,stance,1,stance_multi_indic_eval,microsoft/mdeberta-v3-base,0.0,2.963491849656473,2.963491849656473,0.0,2.963491849656473,checkpoints/stance/multi/multi-indic-fever
